CodigoEstacion,CodigoSensor,FechaObservacion,ValorObservado,NombreEstacion,Departamento,Municipio,ZonaHidrografica,Latitud,Longitud,DescripcionSensor,UnidadMedida,Fecha
0014015020,0068,2018 Oct 15 05:00:00 AM,26.5,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2018-10-15T05:00:00.000-05:00
0014015020,0068,2019 Jul 21 05:00:00 PM,29.5,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2019-07-21T17:00:00.000-05:00
0014015020,0068,2015 Oct 22 09:00:00 AM,31.1,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2015-10-22T09:00:00.000-05:00
0014015020,0068,2014 Dec 21 10:00:00 PM,26.9,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2014-12-21T22:00:00.000-05:00
0014015020,0068,2018 Apr 19 11:00:00 PM,27.5,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2018-04-19T23:00:00.000-05:00
0014015020,0068,2018 Nov 16 12:00:00 AM,26.9,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2018-11-16T00:00:00.000-05:00
0014015020,0068,2015 Sep 29 11:00:00 AM,33.2,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2015-09-29T11:00:00.000-05:00
0014015020,0068,2017 May 22 03:00:00 AM,27.4,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2017-05-22T03:00:00.000-05:00
0014015020,0068,2014 Dec 01 12:00:00 AM,27.1,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2014-12-01T00:00:00.000-05:00
0014015020,0068,2015 Feb 06 08:00:00 AM,27.5,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2015-02-06T08:00:00.000-05:00
